type,year,quarter,category,count,amount,brand,percentage
user,,,,256267,,Vivo,0.1387208861091819
user,,,,192587,,Oppo,0.1042500177280298
user,,,,100085,,Apple,0.0541774004699687
user,,,,89281,,Realme,0.0483290452251513
user,,,,55486,,OnePlus,0.0300353423837406
user,,,,53420,,Motorola,0.0289169878913496
user,,,,34977,,Lenovo,0.0189335358569025
user,,,,29629,,Huawei,0.0160385891844402
user,,,,196383,,Others,0.1063048452464791
user,,,,599986,,Xiaomi,0.245170338110044
user,,,,516011,,Samsung,0.210855905535299
user,,,,351564,,Vivo,0.1436584599429312
user,,,,260510,,Oppo,0.1064513585001109
user,,,,127528,,Apple,0.0521113540624242
user,,,,116691,,Realme,0.0476830658122008
user,,,,68775,,Motorola,0.0281033057496646
user,,,,67358,,OnePlus,0.0275242816239318
user,,,,44001,,Lenovo,0.0179799862783132
user,,,,39423,,Huawei,0.0161092929490225
user,,,,255374,,Others,0.1043526514360574
user,,,,751015,,Xiaomi,0.2486476947739999
user,,,,630157,,Samsung,0.208633762835229
user,,,,451732,,Vivo,0.1495604221695286
user,,,,328450,,Oppo,0.1087439469897675
user,,,,152459,,Apple,0.0504764603870086
user,,,,143729,,Realme,0.0475861128235418
user,,,,81942,,Motorola,0.0271295372331725
user,,,,79279,,OnePlus,0.0262478653475469
user,,,,50399,,Huawei,0.0166862115522523
user,,,,49707,,Lenovo,0.0164571026732238
user,,,,301529,,Others,0.0998308832147286
user,,,,948615,,Xiaomi,0.2500910210412174
user,,,,785842,,Samsung,0.2071778626282236
user,,,,591623,,Vivo,0.155974341689166
user,,,,427382,,Oppo,0.1126741625998298
user,,,,187472,,Apple,0.0494247549286476
user,,,,179167,,Realme,0.0472352408162339
user,,,,98841,,Motorola,0.0260582497754462
user,,,,93582,,OnePlus,0.0246717772026366
user,,,,65203,,Huawei,0.0171899926154978
user,,,,59641,,Lenovo,0.0157236377096285
user,,,,355711,,Others,0.093778958993472
user,,,,1136307,,Xiaomi,0.2503558785899342
user,,,,934852,,Samsung,0.2059704761227002
user,,,,732478,,Vivo,0.1613825957578346
user,,,,527926,,Oppo,0.1163148493853066
user,,,,216144,,Apple,0.0476217439670289
user,,,,213023,,Realme,0.046934112282036
user,,,,111982,,Motorola,0.024672339426104
user,,,,105006,,OnePlus,0.0231353581269979
user,,,,80507,,Huawei,0.0177376366753349
user,,,,67191,,Lenovo,0.0148038002391398
user,,,,413351,,Others,0.0910712094275824
user,,,,1301537,,Xiaomi,0.2513575626251683
user,,,,1060392,,Samsung,0.2047867625332414
user,,,,854882,,Vivo,0.1650979233415024
user,,,,615320,,Oppo,0.1188328379711975
user,,,,244076,,Realme,0.0471368454798446
user,,,,243241,,Apple,0.0469755872407073
user,,,,122500,,Motorola,0.0236576458614569
user,,,,114507,,OnePlus,0.0221140086094518
user,,,,92344,,Huawei,0.0178338093831051
user,,,,72976,,Lenovo,0.014093390729679
user,,,,456255,,Others,0.0881136262246452
user,,,,1453801,,Xiaomi,0.2513594981250925
user,,,,1177753,,Samsung,0.2036313106094452
user,,,,977699,,Vivo,0.1690423448308295
user,,,,699529,,Oppo,0.1209472674485351
user,,,,278941,,Realme,0.0482283818531638
user,,,,268393,,Apple,0.0464046522050046
user,,,,129804,,Motorola,0.0224428709944686
user,,,,123917,,OnePlus,0.0214250196066498
user,,,,103942,,Huawei,0.0179713791324385
user,,,,73965,,Lenovo,0.012788411397999
user,,,,496008,,Others,0.085758863796373
user,,,,1597800,,Xiaomi,0.2509628646269115
user,,,,1285177,,Samsung,0.2018598707426587
user,,,,1103105,,Vivo,0.1732622298061517
user,,,,785251,,Oppo,0.1233376144768724
user,,,,319391,,Realme,0.0501660284741856
user,,,,288206,,Apple,0.045267870423497
user,,,,136766,,Motorola,0.021481529067195
user,,,,130817,,OnePlus,0.0205471329715225
user,,,,113928,,Huawei,0.0178944155972053
user,,,,76631,,Lenovo,0.012036259406199
user,,,,529607,,Others,0.0831841844076008
user,,,,1753322,,Xiaomi,0.2498047378671761
user,,,,1400065,,Samsung,0.1994744093338291
user,,,,1250165,,Vivo,0.1781173909388682
user,,,,881733,,Oppo,0.1256250026714082
user,,,,364011,,Realme,0.0518625058236699
user,,,,308315,,Apple,0.0439272123178277
user,,,,143514,,Motorola,0.020447172367808
user,,,,137007,,OnePlus,0.0195200868528246
user,,,,123916,,Huawei,0.0176549452396929
user,,,,80705,,Lenovo,0.0114984534327239
user,,,,576017,,Others,0.0820680831541708
user,,,,1914791,,Xiaomi,0.2492283490639835
user,,,,1520490,,Samsung,0.1979063054235665
user,,,,1398622,,Vivo,0.1820440204829492
user,,,,984512,,Oppo,0.128143646170094
